iter	Passed	Remaining
0	219	43635
1	359	35565
2	380	25014
3	527	25867
4	672	26229
5	795	25724
6	931	25677
7	1061	25471
8	1182	25103
9	1303	24760
10	1437	24693
11	1561	24469
12	1679	24157
13	1812	24076
14	1938	23913
15	2058	23675
16	2176	23425
17	2331	23572
18	2485	23674
19	2605	23447
20	2733	23299
21	2856	23112
22	2978	22918
23	3105	22773
24	3229	22608
25	3350	22425
26	3471	22240
27	3590	22057
28	3715	21909
29	3829	21700
30	3955	21563
31	4072	21378
32	4199	21254
33	4321	21099
34	4445	20957
35	4564	20794
36	4684	20635
37	4812	20516
38	4936	20380
39	5068	20275
40	5183	20101
41	5305	19957
42	5422	19797
43	5543	19653
44	5665	19514
45	5785	19370
46	5909	19237
47	6036	19114
48	6155	18969
49	6281	18845
50	6412	18733
51	6531	18590
52	6649	18443
53	6773	18313
54	6891	18168
55	7013	18035
56	7139	17912
57	7261	17778
58	7385	17649
59	7499	17498
60	7641	17413
61	7852	17478
62	8024	17449
63	8173	17368
64	8359	17361
65	8536	17331
66	8678	17228
67	8809	17100
68	8936	16967
69	9072	16848
70	9220	16752
71	9402	16715
72	9431	16408
73	9579	16310
74	9702	16170
75	9830	16039
76	9949	15893
77	10085	15774
78	10243	15689
79	10405	15608
80	10573	15534
81	10755	15476
82	10881	15339
83	10893	15043
84	11026	14918
85	11155	14787
86	11278	14649
87	11300	14382
88	11422	14245
89	11540	14104
90	11662	13969
91	11780	13829
92	11899	13691
93	12043	13581
94	12300	13595
95	12315	13341
96	12482	13254
97	12600	13114
98	12730	12987
99	12857	12857
100	12994	12737
101	13154	12638
102	13321	12545
103	13484	12447
104	13632	12334
105	13770	12211
106	13885	12068
107	14005	11930
108	14124	11792
109	14255	11663
110	14392	11540
111	14509	11400
112	14642	11273
113	14766	11139
114	14883	11000
115	15010	10869
116	15146	10744
117	15273	10613
118	15392	10477
119	15511	10340
120	15636	10209
121	15764	10078
122	15892	9949
123	16012	9813
124	16132	9679
125	16253	9545
126	16369	9409
127	16493	9277
128	16613	9143
129	16738	9012
130	16856	8878
131	16976	8745
132	17101	8615
133	17220	8481
134	17338	8348
135	17456	8214
136	17580	8084
137	17703	7953
138	17828	7824
139	17881	7663
140	18004	7533
141	18119	7401
142	18242	7271
143	18371	7144
144	18500	7017
145	18634	6892
146	18751	6760
147	18871	6630
148	18994	6501
149	19114	6371
150	19227	6239
151	19353	6111
152	19472	5981
153	19600	5854
154	19727	5727
155	19850	5598
156	19972	5470
157	20088	5340
158	20203	5209
159	20329	5082
160	20451	4954
161	20573	4825
162	20699	4698
163	20822	4570
164	20943	4442
165	21069	4315
166	21191	4187
167	21318	4060
168	21445	3933
169	21566	3805
170	21684	3677
171	21813	3550
172	21930	3422
173	22060	3296
174	22178	3168
175	22296	3040
176	22414	2912
177	22535	2785
178	22658	2658
179	22780	2531
180	22906	2404
181	23028	2277
182	23157	2151
183	23284	2024
184	23403	1897
185	23524	1770
186	23653	1644
187	23775	1517
188	23900	1391
189	24018	1264
190	24143	1137
191	24261	1010
192	24384	884
193	24500	757
194	24624	631
195	24758	505
196	24884	378
197	25003	252
198	25127	126
199	25258	0
